perplexity,chain,chain_earlystop,normal,normal_earlystop
1,999,489,999,669
2,999,219,999,639
3,999,189,999,669
4,999,129,999,539
5,999,109,999,589
6,999,89,999,429
7,999,99,999,539
8,999,69,999,479
9,999,79,999,489
10,999,79,999,579
11,999,69,999,479
12,999,59,999,389
13,999,69,999,419
14,999,59,999,529
15,999,69,999,439
16,999,59,999,399
17,999,79,999,449
18,999,69,999,419
19,999,49,999,469
20,999,0.0,999,389
21,999,69,999,379
22,999,59,999,419
23,999,69,999,489
24,999,69,999,439
25,999,69,999,419
26,999,69,999,389
27,999,79,999,419
28,999,69,999,439
29,999,69,999,399
30,999,69,999,419
31,999,69,999,449
32,999,69,999,409
33,999,69,999,369
34,999,69,999,379
35,999,69,999,459
36,999,79,999,449
37,999,79,999,409
38,999,79,999,439
39,999,89,999,399
40,999,89,999,379
41,999,109,999,389
42,999,99,999,409
43,999,79,999,389
44,999,139,999,419
45,999,79,999,389
46,999,79,999,369
47,999,119,999,409
48,999,119,999,379
49,999,129,999,429
50,999,119,999,359
51,999,119,999,399
52,999,119,999,399
53,999,119,999,429
54,999,119,999,389
55,999,119,999,379
56,999,109,999,379
57,999,109,999,359
58,999,109,999,439
59,999,109,999,359
60,999,109,999,419
61,999,99,999,409
62,999,109,999,419
63,999,99,999,409
64,999,99,999,419
65,999,99,999,369
