perplexity,chain,chain_earlystop,normal,normal_earlystop
1,999,539,999,719
2,999,589,999,999
3,999,199,999,769
4,999,219,999,799
5,999,169,999,579
6,999,189,999,499
7,999,139,999,659
8,999,179,999,679
9,999,129,999,479
10,999,129,999,809
11,999,119,999,479
12,999,139,999,489
13,999,109,999,689
14,999,99,999,719
15,999,119,999,489
16,999,99,999,459
17,999,59,999,509
18,999,89,999,529
19,999,69,999,529
20,999,59,999,649
21,999,79,999,589
22,999,59,999,419
23,999,69,999,489
24,999,59,999,549
25,999,59,999,479
26,999,59,999,489
27,999,99,999,509
28,999,109,999,389
29,999,69,999,529
30,999,0.0,999,409
31,999,69,999,399
32,999,109,999,419
33,999,59,999,459
